DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?IsReadLocked@CReaderWriterLock3AR@@QEBA_NXZ                                                         0xb7057368                                         
?IsReadLocked@CReaderWriterLock@@QEBA_NXZ                                                            0x5e54ee82                                         
?IsReadLocked@CSmallSpinLock@@QEBA_NXZ                                                               0xf45eaaa5                                         
?IsReadLocked@CSpinLock@@QEBA_NXZ                                                                    0x06b2fdac                                         
?IsReadUnlocked@CCritSec@@QEBA_NXZ                                                                   0xafaf3879                                         
?IsReadUnlocked@CFakeLock@@QEBA_NXZ                                                                  0x5623682c                                         
?IsReadUnlocked@CLKRHashTable@@QEBA_NXZ                                                              0xe33654c1                                         
?IsReadUnlocked@CLKRLinearHashTable@@QEBA_NXZ                                                        0xa2ee079c                                         
?IsReadUnlocked@CReaderWriterLock2@@QEBA_NXZ                                                         0xdce4e617                                         
?IsReadUnlocked@CReaderWriterLock3@@QEBA_NXZ                                                         0x62419b58                                         
?IsReadUnlocked@CReaderWriterLock3AR@@QEBA_NXZ                                                       0xc6a357cb                                         
?IsReadUnlocked@CReaderWriterLock@@QEBA_NXZ                                                          0xc90775c5                                         
?IsReadUnlocked@CSmallSpinLock@@QEBA_NXZ                                                             0x454dc0c8                                         
?IsReadUnlocked@CSpinLock@@QEBA_NXZ                                                                  0xad1ff1ef                                         
?IsUnlocked@CLockedDoubleList@@QEBA_NXZ                                                              0xbc4ca799                                         
?IsUnlocked@CLockedSingleList@@QEBA_NXZ                                                              0xe92074e0                                         
?IsUsable@CLKRHashTable@@QEBA_NXZ                                                                    0x3638dbec                                         
?IsUsable@CLKRLinearHashTable@@QEBA_NXZ                                                              0x93820307                                         
?IsValid@CLKRHashTable@@QEBA_NXZ                                                                     0x8e2e2600                                         
?IsValid@CLKRHashTable_Iterator@@QEBA_NXZ                                                            0x8f347f29                                         
?IsValid@CLKRLinearHashTable@@QEBA_NXZ                                                               0xa8538c1b                                         
?IsValid@CLKRLinearHashTable_Iterator@@QEBA_NXZ                                                      0x85e9f3a4                                         
?IsWin2k@CMdVersionInfo@@SAHXZ                                                                       0xf450459f                                         
?IsWin2korLater@CMdVersionInfo@@SAHXZ                                                                0x08557158                                         
?IsWin95@CMdVersionInfo@@SAHXZ                                                                       0x61630910                                         
?IsWin98@CMdVersionInfo@@SAHXZ                                                                       0xba03e553                                         
?IsWin98orLater@CMdVersionInfo@@SAHXZ                                                                0x0829de8c                                         
?IsWin9x@CMdVersionInfo@@SAHXZ                                                                       0xc76b9593                                         
?IsWinNT4@CMdVersionInfo@@SAHXZ                                                                      0x0b419818                                         
?IsWinNT@CMdVersionInfo@@SAHXZ                                                                       0x990802e4                                         
?IsWinNt4orLater@CMdVersionInfo@@SAHXZ                                                               0x200e19d1                                         
?IsWriteLocked@CCritSec@@QEBA_NXZ                                                                    0xb15c56e5                                         
?IsWriteLocked@CFakeLock@@QEBA_NXZ                                                                   0x8d745418                                         
?IsWriteLocked@CLKRHashTable@@QEBA_NXZ                                                               0xefb356ad                                         
?IsWriteLocked@CLKRLinearHashTable@@QEBA_NXZ                                                         0x4a17ca88                                         
?IsWriteLocked@CReaderWriterLock2@@QEBA_NXZ                                                          0xbb2bfb83                                         
?IsWriteLocked@CReaderWriterLock3@@QEBA_NXZ                                                          0x4088b0c4                                         
?IsWriteLocked@CReaderWriterLock3AR@@QEBA_NXZ                                                        0x53057837                                         
?IsWriteLocked@CReaderWriterLock@@QEBA_NXZ                                                           0xeecb8db1                                         
?IsWriteLocked@CSmallSpinLock@@QEBA_NXZ                                                              0xe16b0034                                         
