DLL Path: C:\Windows\System32\oobe\unbcl.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$Array@E@UnBCL@@IEAA@XZ                                                                          0xdaa69b90                                         
??0?$SmartPtr@VVersion@UnBCL@@@UnBCL@@QEAA@PEAVVersion@1@@Z                                          0x4e7eae8c                                         
??0?$SmartPtr@VVersion@UnBCL@@@UnBCL@@QEAA@XZ                                                        0xbced7341                                         
??0?$SmartPtr@VXmlNamespaceManager@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                     0x1581987b                                         
??0?$SmartPtr@VXmlNamespaceManager@UnBCL@@@UnBCL@@QEAA@PEAVXmlNamespaceManager@1@@Z                  0x60b93032                                         
??0?$SmartPtr@VXmlNamespaceManager@UnBCL@@@UnBCL@@QEAA@XZ                                            0xba035514                                         
??0?$Stack@H@UnBCL@@QEAA@AEBV01@@Z                                                                   0x2094c379                                         
??0?$Stack@H@UnBCL@@QEAA@XZ                                                                          0xe73401d2                                         
??0?$Stack@PEAVObject@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                  0xe3034488                                         
??0?$Stack@PEAVObject@UnBCL@@@UnBCL@@QEAA@XZ                                                         0x75d225c1                                         
??0ASCIIEncoding@UnBCL@@QEAA@$$QEAV01@@Z                                                             0xa97da75f                                         
??0ASCIIEncoding@UnBCL@@QEAA@AEBV01@@Z                                                               0x5bd8e688                                         
??0ASCIIEncoding@UnBCL@@QEAA@XZ                                                                      0x569a07c1                                         
??0AbandonedMutexException@UnBCL@@QEAA@$$QEAV01@@Z                                                   0x998746ed                                         
??0AbandonedMutexException@UnBCL@@QEAA@AEBV01@@Z                                                     0x32394a96                                         
??0AbandonedMutexException@UnBCL@@QEAA@PEBG@Z                                                        0x94604f15                                         
??0AbandonedMutexException@UnBCL@@QEAA@PEBVString@1@@Z                                               0x1413eeac                                         
??0AbandonedMutexException@UnBCL@@QEAA@PEBVString@1@PEAVException@1@@Z                               0x6fdd5f58                                         
??0AbandonedMutexException@UnBCL@@QEAA@XZ                                                            0x09dcff8f                                         
??0ApplicationException@UnBCL@@QEAA@$$QEAV01@@Z                                                      0xf878dc52                                         
??0ApplicationException@UnBCL@@QEAA@AEBV01@@Z                                                        0xb08c42bb                                         
